,uid,title,episodes,members,score,Comedy,Action,Fantasy,Adventure,Drama,Sci-Fi,Hentai,Kids,Shounen,Romance,Slice of Life,Music,School,Supernatural,Historical,Mecha,Magic,Seinen,Mystery,Sports,Ecchi,Shoujo,Super Power,Parody,Military
106,1505,Detective Conan Movie 09: Strategy Above the Depths,1.0,31840,7.9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,1472,City Hunter 3,13.0,11650,7.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,9465,Break Blade 4: Sanka no Chi,1.0,50594,7.9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
109,35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),12.0,344479,7.91,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,38349,Wotaku ni Koi wa Muzukashii: Youth,1.0,45804,7.91,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17949,The Everlasting Guilty Crown,1.0,23109,7.91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,12445,Tasogare Otome x Amnesia,12.0,270355,7.91,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
113,1254,Saint Seiya,114.0,119599,7.91,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,35073,Overlord II,13.0,443731,7.91,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
115,597,Neko no Ongaeshi,1.0,143647,7.91,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,569,Musekinin Kanchou Tylor,26.0,32091,7.91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
117,19111,Love Live! School Idol Project 2nd Season,13.0,170880,7.91,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
118,14349,Little Witch Academia,1.0,224526,7.91,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
119,4898,Kuroshitsuji,24.0,684593,7.91,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
120,249,InuYasha (TV),167.0,456015,7.91,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
121,12893,Danshi Koukousei no Nichijou Specials,6.0,84559,7.91,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,8142,Colorful (Movie),1.0,112488,7.91,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,532,Bishoujo Senshi Sailor Moon S,38.0,93615,7.91,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
124,21185,Baby Steps,25.0,102172,7.91,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
125,890,Yuusha-Ou GaoGaiGar,49.0,14623,7.92,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,543,Vampire Hunter D (2000),1.0,106472,7.92,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,949,Top wo Nerae! Gunbuster,6.0,84962,7.92,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
128,34504,Seitokai Yakuindomo Movie,1.0,30503,7.92,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,1729,Maria-sama ga Miteru 3rd,5.0,16501,7.92,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
